LAT,LONG,YEAR,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC
27N,116W,2005,-35,-74,31,53,-10,17,-8,-19,34,46,43,22
27N,116W,2006,41,2,25,14,-45,-56,-37,18,72,70,67,72
27N,116W,2007,18,57,53,85,36,38,-5,32,58,56,10,19
27N,116W,2008,-31,31,90,126,15,-11,-14,24,57,24,40,2
27N,116W,2009,2,10,49,49,-1,22,6,33,9,-45,-17,-39
27N,116W,2010,-61,-36,-51,-103,-50,62,93,74,65,17,6,-7
27N,116W,2011,-18,-32,69,82,80,143,87,47,61,55,-26,-19
27N,116W,2012,13,-10,25,32,102,143,64,-10,-72,4,36,30
27N,116W,2013,-21,22,37,74,9,16,7,31,56,5,-16,0
27N,116W,2014,-20,5,22,15,-32,16,-22,-35,-28,-35,-6,-12
27N,116W,2015,-44,-18,-32,1,-63,-17,-10,31,-63,-41,10,57
27N,116W,2016,9,11,70,-15,-32,-51,-8,13,-5,7,31,-11
27N,116W,2017,-18,16,43,95,-10,14,-25,52,20,31,22,-23
27N,116W,2018,-13,-53,14,61,16,-14,-5,-27,-9,-28,-11,3
27N,116W,2019,-27,-37,8,33,-19,-15,49,27,1,2,-32,-24
27N,116W,2020,21,-8,-50,26,29,3,37,-24,-41,-14,20,9
27N,116W,2021,-33,49,16,80,9,-16,-1,,,,,
999,9,,,,,,,,,,,,,
30N,119W,1946,54,3,16,14,52,148,64,59,78,-17,-11,-1
30N,119W,1947,54,-17,-5,50,-86,-23,100,10,-27,-8,5,7
30N,119W,1948,-26,25,-34,-80,20,-48,-17,-23,-24,-22,7,-23
30N,119W,1949,7,44,-26,9,-42,-39,-30,13,-6,-12,19,-1
30N,119W,1950,4,-19,1,10,-47,-35,-67,-21,-28,-33,-7,34
30N,119W,1951,56,8,-1,-50,4,8,14,-22,26,25,8,-5
30N,119W,1952,-32,-42,-8,-42,24,-49,-59,-27,-31,4,-11,-23
30N,119W,1953,0,48,42,42,18,36,0,49,25,36,63,59
30N,119W,1954,21,17,-39,33,-27,11,-35,36,35,2,4,-5
30N,119W,1955,25,-9,-17,85,65,100,59,31,113,70,46,7
30N,119W,1956,16,21,91,24,38,98,48,103,51,36,-5,-2
30N,119W,1957,-36,-21,49,43,-10,75,59,28,38,19,28,17
30N,119W,1958,49,-2,-15,88,-9,59,42,-12,36,27,50,3
30N,119W,1959,43,-44,52,8,31,105,52,-3,22,50,-1,-27
30N,119W,1960,-11,23,53,3,99,-66,-32,-4,4,18,-18,12
30N,119W,1961,-23,80,52,23,10,-41,-49,-18,-59,-37,-18,-1
30N,119W,1962,-7,-31,-34,48,12,19,12,24,19,-6,38,-22
30N,119W,1963,-47,-14,-29,-26,-50,-36,39,-11,-36,-32,-2,-13
30N,119W,1964,13,-14,33,28,25,5,33,-8,-11,-43,-27,19
30N,119W,1965,-12,-23,-66,-102,-15,-57,-48,-68,-70,-45,-64,-27
